Incident ID,Offence Code,CR Number,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Place,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Police District Number
201122532,9106,17009829,1,Other,All Other Offenses,MENTAL ILLNESS,ROCKVILLE,1  BLK  UPPER ROCK CIR,ROCKVILLE,MD,20850,Residence - Apartment/Condo,1,,UPPER ROCK,,CIR,2/23/2017 16:13,,1D
201122533,1209,17010026,1,Crime Against Property,Robbery,ROBBERY - RESIDENTIAL-STRONG-ARM,WHEATON,1700 BLK  WINDHAM LA,SILVER SPRING,MD,20902,Residence - Single Family,1700,,WINDHAM,,LA,2/24/2017 12:45,2/24/2017 15:16,4D
201122533,2202,17010026,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,WHEATON,1700 BLK  WINDHAM LA,SILVER SPRING,MD,20902,Residence - Single Family,1700,,WINDHAM,,LA,2/24/2017 12:45,2/24/2017 15:16,4D
201122534,3512,17009884,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,SILVER SPRING,11700 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,Street - In vehicle,11700,,NEW HAMPSHIRE,,AVE,2/23/2017 20:57,2/23/2017 20:57,3D
201122535,3562,17009874,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,7800 BLK  GEORGIA AVE,,MD,20910,Park,7800,,GEORGIA,,AVE,2/23/2017 20:47,,3D
201122536,2303,17010090,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,15700 BLK  SHADY GROVE RD,GAITHERSBURG,MD,20878,Retail - Department/Discount Store,15700,,SHADY GROVE,,RD,2/24/2017 20:05,,6D
201122537,9106,17010068,1,Other,All Other Offenses,MENTAL ILLNESS,ROCKVILLE,,ROCKVILLE,MD,20850,Street - Residential,,,IVY LEAGUE,,LA,2/24/2017 18:00,2/24/2017 0:00,1D
201122538,4104,17010092,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,WHEATON,11500 BLK  GRANDVIEW AVE,SILVER SPRING,MD,20902,Street - Residential,11500,,GRANDVIEW,,AVE,2/24/2017 20:28,,4D
201122539,9199,17010061,1,Other,All Other Offenses,POLICE INFORMATION,WHEATON,2400 BLK  SEIBEL DR,SILVER SPRING,MD,20905,Street - Residential,2400,,SEIBEL,,DR,2/24/2017 15:45,2/24/2017 16:00,4D
201122540,2902,17009985,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,WHEATON,16100 BLK  DRAYTON FARM DR,SPENCERVILLE,MD,20868,Residence - Driveway,16100,,DRAYTON FARM,,DR,2/22/2017 23:00,,4D
